Tagsvideo,canal,Published,Description,monetized,abordagem,conteudo,objeto,suporte,publico-alvo,relevante
,Arte é Investimento,2020-03-24,"['O Arte é Investimento conversou sobre a conservação', 'preservação e restauração de têxteis com Adelina Pereira e Maurício Bidoli<br><br><br> - onde estão os têxteis no mercado de arte <br><br> - como está o trabalho de preservação dos têxteis no Brasil <br><br>  - o que é necessário para uma pessoa trabalhar com a conservação', 'preservação e restauração de têxteis <br><br>  - a caracterização morfológica dos têxteis;<br><br>  - como conservar e preservar um têxtil  (como guardar; o uso de caixas; elementos anti-ácido; monitoramento; local de guarda; microorganismos; controle ambiental; o uso de cabides; umidade; iluminação; temperatura)<br><br>  os cuidados com a restauração de um têxtil;<br><br>  - a utilização de impressões digitais e de softwares de design gráfico na restauração de têxteis;<br><br>  - as principais causas de degradação de um têxtil (manuseio; adesivos; a forma de guarda; fita crepe; alfinetes; elementos metálicos como fechos; manequins);<br><br>  - até que ponto um restaurador pode alterar um têxti <br><br>  - a importância da catalogação de uma coleção de têxteis (aspectos técnicos e históricos; a criação de bibliografias da história da moda; referências para tecnologia industrial).<br><br><br> Pode-se acessar diretamente os temas clicando nos respectivos tempos quando eles estiverem destacados com a cor azul. Para quem acessa por computador ou notebook', 'os tempos aparecerão em azul na descrição do vídeo. Para quem acessa por celular ou tablet', 'os tempos aparecerão em azul no primeiro comentário <br><br><br>Contato<br>Adelina Pereira', 'e-mail maria_adelina_pereirahotmail.com;<br><br><br>Links <br><br>Maurício Bidoli<br>Site www.bidoli.com.br/<br>Instagram /www.instagram.com/bidolicr/<br>Facebook www.facebook.com/BidoliCR/<br><br>Museu da Obra Salesiana no Brasil<br>www.museusalesiano.com.br/<br><br>Cursos promovidos pelo Museu da Obra Salesiana no Brasil:<br>www.museusalesiano.com.br/cursos<br><br>Unisal<br>unisal.br/<br><br><br>Arte é Investimento', '1ª Fase', '1988 e 1989', 'e 2ª Fase', 'a partir de 2019<br><br><br>Responsável Jorge Priori;<br><br><br>Criação Nelson Priori.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal",Câmara dos Deputados,2022-08-12,"['RÁDIO CÂMARA - Confira nesta edição', 'entre outros assuntos <br><br>✔️Proposta que regulamenta profissão de restaurador pode ser votada esse mês;<br>✔️Congresso lembra Agosto Lilás e comemora 16 anos da Lei Maria da Penha;<br>✔️Plenário pode votar projeto que protege mulheres de violência no local de trabalho.<br><br><br>Conheça nossos termos de uso']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Faça você mesmo, restauração, Dy, Motos, mecânica",Arte da Restauração,2022-08-08,['Bela restauração nessa motocicleta Soviética. <br>Se curtir o Conteúdo se inscreva no nosso canal.'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"pintura, museu, museudoipiraga, uso, restauro, restauração, pintor, pedroamérico, história, arte, art, brazilianart, artebrasileira, pesquisa, usp, sãopaulo, FAPESP",Agência FAPESP,2020-02-17,"['Com apoio da FAPESP', 'pesquisadores do Instituto de Física e do Instituto de Química da USP fornecem à equipe de restauradores informações precisas sobre os elementos químicos presentes nos pigmentos que dão cor à pintura', 'considerada um retrato oficial da nacionalidade brasileira.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"cristina sanches, como tirar fungos em livros, como limpar fungos em livros, como tirar fungos de livros, melhor forma de tirar fungos em livros, como limpar livro, como tirar o cheiro de mofo dos livros, Como tirar mofo dos livros, como tirar bolor dos livros, limpar livros mofados, como cuidar dos livros, fungos em livros, fungos em livros velhos, tecnica que mata os fungos em livros, como tirar mofo com cloro",Arte de Fato,2021-09-28,"['Como tirar fungos em livros ou como limpar fungos em livros é uma preocupação de todo colecionador de livros', 'revistas', 'gibis e quadrinhos. A melhor forma de tirar fungos em livros e outras soluções mágicas aparecem em diversos vídeos e blogs. Mas será que elas ajudam a limpar livros mofados mesmo  Será que saber como tirar o cheiro de mofo dos livros realmente ajuda a tirar fungos de livros  Ou será que esta técnica pouco conhecida de como tirar mofo dos livros só traz mais esporos', 'fungos', 'mofo e bolor para sua biblioteca ou coleção  Neste vídeo aprenda']",False,"T, é, c, n, i, c, a","Explicativo, processos",acervos pessoais dos espectadores,livros,"leigos, iniciados","Engajamento, Intenção de DC, desmistificação de dicas mágicas, titulo chamativo, memes"
"conservação, cristina sanches, restaurador, restauro e preservacao, reserva tecnica, arquivologia, museologia, museografia, biblioteca, biblioteconomia, bibliotecário, como limpar livros, limpeza de livros, livro sujo, livro empoeirado, limpar biblioteca, como tirar poeira dos livros, como limpar corretamente os livros, como limpar livro antigo, livro antigo, limpar coleção de livros",Arte de Fato,2021-04-21,"['Aprenda o método definitivo de como limpar livros antigos e novos. Como limpar livros antigos pode causar muitos problemas se não for feito direito. Aprenda de uma vez por todas como fazer a limpeza e preservar livros', 'bibliotecas', 'coleções e acervos. Método definitivo. Guia fácil. <br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO<br>✷ inscreva-se na lista de emails da Cristina e aproveite o conteúdo exclusivo para assinantes']",False,"T, é, c, n, i, c, a","Explicativo, materiais, processos",acervos pessoais dos espectadores,livros,leigos,"Engajamento, Intenção de dc, jargões usados amigávelmente, combate à desinformação"
"Centro de Informação e Documentação, arquivo, histórico, biblioteconomia, arquivologia, obras raras, plantas arquitetônicas, Palácio do Congresso Nacional, restauração, preservação, Museologia, Museu da Câmara, APAE, livros raros, Câmara dos Deputados, biblioteca, obras digitalizadas, acervo histórico",Câmara dos Deputados,2020-11-30,"['Obras raras', 'arquivos seculares', 'objetos de alto valor histórico']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal",Câmara dos Deputados,2022-08-11,"['Tema  Regulamentação das profissões de conservador e restaurador<br>Local Anexo II', 'Plenário 08<br>Início 11/08/2022 às 15:00<br>Informações REQ 24/2022 CCULT - de autoria dos Deputados Erika Kokay', 'Marcelo Calero e Lídice da Mata.<br><br>Convidado(s) <br><br>LUPEHUARA DA CONCEIÇÃO GOMES DE ZEVALLOS', 'DISCENTE DO CURSO DE CONSERVAÇÃO-RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS', 'UNIVERSIDADE FEDERAL DE MINAS GERAIS E ADVOGADA<br><br>LUIZ ANTONIO CRUZ SOUZA', 'PROFESSOR DE CIÊNCIAS DA CONSERVAÇÃO', 'ESCOLA DE BELAS ARTES - UFMG<br><br>ROSEANE DA CONCEIÇÃO COSTA NORAT', 'DIRETORA DA FACULDADE DE CONSERVAÇÃO E RESTAURO DA UNIVERSIDADE FEDERAL DO PARÁ<br><br>THAIS ALESSANDRA BASTOS CAMINHA SANJAD', 'COORDENADORA DO PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DO PATRIMÔNIO CULTURAL DA UNIVERSIDADE FEDERAL DO PARÁ (PPGATRI/UFPA)<br><br>MARILENE CORRÊA MAIA', 'PROFESSORA NO DEPARTAMENTO DE ARTE E PRESERVAÇÃO DA ESCOLA DE BELAS ARTES DA UFRJ E<br>PRESIDENTE DA ASSOCIAÇÃO MINEIRA DE CONSERVADORES-RESTAURADORES - AMCOR<br><br>MARIA CRISTINA ROCHA SIMÃO- PROFESSORA TITULAR DO CURSO DE CONSERVAÇÃO E RESTAURO DO INSTITUTO FEDERAL DE MINAS GERAIS', 'CAMPUS OURO PRETO<br><br>JOSE DO NASCIMENTO JÚNIOR - DOUTOR EM MUSEOLOGIA E PATRIMÔNIO CULTURAL', 'ANTROPÓLOGO', 'EX PRESIDENTE DO INSTITUTO BRASILEIRO DE MUSEUS E ASSESSOR DO CONSELHO FEDERAL DE MUSEOLOGIA<br><br>MARIA EDWIGES SOBREIRA LEAL - PRESIDENTE DO CAU/MG - CONSELHO DE ARQUITETURA E URBANISMO DE MINAS GERAIS<br><br>']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal, restauracao, bailarina, invasao camara, depredacao camara, vandalismo, intervencao militar, vidros, obras de arte, destruicao de patrimonio, lula, bolsonaro, direita, esquerda, ataque a camara, destruicao na camara, depredacao, patrimonio publico, ataque, ataque golpista, terroristas, vidros quebrados, quebradeira, vandalos, pichacao, camara alagada, alagamento, vidracas quebradas",Câmara dos Deputados,2023-01-11,,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal, restauracao, bailarina, invasao camara, depredacao camara, vandalismo, intervencao militar, vidros, obras de arte, destruicao de patrimonio, lula, bolsonaro, direita, esquerda, ataque a camara, destruicao na camara, depredacao, patrimonio publico, ataque, ataque golpista, terroristas, vidros quebrados, quebradeira, vandalos, pichacao, camara alagada, alagamento, vidracas quebradas",Câmara dos Deputados,2023-01-11,,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal, Muro Escultórico, athos bulcao, restauracao, terroristas, obras de arte, vandalismo, ataque a camara, invasao a camara",Câmara dos Deputados,2023-01-16,"['O Muro Escultórico', 'do artista plástico Athos Bulcão', 'foi uma das obras do acervo do Congresso Nacional vandalizadas nos atos terroristas do último dia 8 de janeiro', 'mas será restaurada por especialistas até o final do mês.']",False,"T, é, c, n, i, c, a","Entrevista com restaurador, Danos",patrimonializado,Madeira com laca,leigos,Em conjunto com as outras comunicações sobre a obra
"câmara dos deputados, congresso nacional, deputados federais, camara federal, comissao de cultura, regulamentação, restauradores, profissão, bens culturais, bens culturais moveis, preservação do patrimonio, proteçao do patriminio, conservação de bens, museologos, cultura, alteraçoes de texto, restaurador, conservador-restaurador",Câmara dos Deputados,2022-08-11,"['A Comissão de Trabalho da Câmara analisa uma proposta que regulamenta a profissão de Conservador-Restaurador de Bens Culturais. Um parecer sobre o projeto já foi apresentado ao colegiado', 'mas não foi votado. Nesta quarta-feira (11/08)', 'a Comissão de Cultura realizou uma audiência pública sobre o tema e sugestões de modificações ao texto foram debatidas.<br><br>Conheça nossos termos de uso']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Restauração, GUCCI, ASMR, Relaxar, Som para dormir",Arte da Restauração,2022-08-10,"['Restauração de um belo Par de Sapatos Gucci', 'avaliados em $1.000. <br>Relaxe com ASMR🎧 e acompanhe essa Bela restauração.']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal, escultura bailarina, depredação em brasilia, obras de arte, obras restauradas, restauração, exposição na câmara, entrada da Câmara, notícias sobre a invasão na Câmara dos deputados, tv câmara",Câmara dos Deputados,2023-01-11,['A obra foi separada da base e jogada no chão durante a invasão da Câmara no domingo. Leia a notícia completa'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"câmara dos deputados, congresso nacional, deputados federais, camara federal",Câmara dos Deputados,2023-01-13,['Link   cd.leg.br/2whT4mw<br><br>Conheça nossos termos de uso www.camara.leg.br/tv/562840-t...<br><br>Siga-nos também nas redes sociais <br><br>www.facebook.com/camaradeputados <br>twitter.com/camaradeputados <br>www.instagram.com/camaradeput...<br>www.tiktok.com/@camaradosdepu... <br>cd.leg.br/telegram <br><br>Conheça nossos canais de participação https://www2.camara.leg.br/participacao<br><br>CâmaraDosDeputados'],False,"T, é, c, n, i, c, a",Noticia,patrimonializado,,leigos,"Em conjunto com as outras comunicações sobre a obra, cibercultura - shorts"
"Câmara dos deputados, IDSessaoReuniao",Câmara dos Deputados,2022-06-29,"['A Comissão de Turismo da Câmara dos Deputados realiza audiência para discutir a restauração do vapor Benjamim Guimarães', 'ancorado em Pirapora (MG).<br><br>Foram convidados - Sra. Débora Maria Ramos do Nascimento Franca', 'Superintendente do Iphan no Estado de Minas Gerais;<br><br>- Sra. Marília Palhares Machado', 'Presidente do Instituto Estadual do Patrimônio Histórico e Artístico de Minas Gerais;<br><br>- Sr. Kelebson Viana', 'Presidenta da Câmara Municipal de Vereadores de Pirapora;<br><br>- Sr. Paulo Rogério', 'Secretário de Governo de Pirapora; e', '<br><br>- Sr. Elton Jackson', 'Diretor-Presidente da Empresa Municipal de Turismo de Pirapora - EMUTUR.<br><br>Fonte Agência Câmara de Notícias']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"bolor nos livros, mofo nos livros, como retirar mofo dos livros, como retirar bolor dos livros, como tirar mofo dos livros, como tirar bolor dos livros, como tirar fungos dos livros, livros mofados, livros embolorados, livros com fungos, livros com cheiro ruim, limpeza dos livros, como tirar mofo de livros, mofo livros tirar, como cuido dos meus livros, clarear livro, limpar livros, clareando livro, como limpar livro, restauração de livro, livro mofado o que fazer",Arte de Fato,2020-09-01,"['Trabalho incrível! Raro gibi todo desgastado é restaurado como novo. Veja as técnicas usadas para preservar uma revista rara das HQs nacionais. Cristina Sanches restaura o ALMANAQUE DE TERROR', 'antologia de histórias em quadrinhos da épica editora Taika', 'com histórias de mestres da HQ nacional', 'como Jayme Cortez e Nico Rosso.<br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO <br>✷ inscreva-se na lista de emails da Cristina e aproveite o conteúdo exclusivo para assinantes']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Conservação, Preservação",acervos pessoais dos espectadores,livros,"leigos, profissionais, crianças","Engajamento, Intenção de dc, Inspiração, desmistificação de dicas mágicas, linguagem visual, combate à desinformação"
"conservação, cristina sanches, restaurador, restauro e preservacao, conservar obras de arte, reserva tecnica, conservacao preventiva, biblioteconomia, arquivologia, museologia, restauro e conservação, como cuidar dos livros, como proteger os livros, como proteger minha biblioteca, como fazer capa para livro, como conservar seus livros, restauro de livros, como fazer jacket para livros",Arte de Fato,2021-04-06,"['Aprenda a fazer uma capa protetora para seus livros', 'muito fácil e barata. Passo-a-passo bem didático. Ótima alternativa para preservar sua biblioteca ou coleção. Protege contra poeira', 'manchas', 'infestação de insetos', 'aparecimento de mofo ou bolor. <br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO <br>✷ inscreva-se na lista de emails da Cristina e aproveite o conteúdo exclusivo para assinantes']",False,"T, é, c, n, i, c, a","Explicativo, processos",como fazer capa protetora,papel,"leigos, iniciados","Engajamento, utilitário"
"conservação, cristina sanches, restaurador, restauro e preservacao, como fazer papel reciclado, como fazer papel artesanal, como reciclar papel, como fazer papel, papel ecológico, o que fazer com papel velho, como reutilizar papel velho, quero papel reciclado, onde consigo papel reciclado, fazer papel com crianças, reciclagem para crianças, fazer papel com peneira, mais facil que manual do mundo, quem faz papel reciclado",Arte de Fato,2021-02-01,"['Aprenda a reciclar seu papéis descartados com esta receita simples e validada por uma especialista em Conservação e Restauro. Por que ;e importante reciclar papel  Papel velho', 'o que fazer  Como é o processo industrial de reciclar papéis  Aprenda a fórmula fácil de como fazer papel reciclado.<br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO<br>✷ inscreva-se na lista de emails da Cristina e aproveite o conteúdo exclusivo para assinantes']",False,"T, é, c, n, i, c, a","Explicativo, processos",como fazer papel,papel,"leigos, iniciados","Engajamento, Intenção de dc"
"conservação, cristina sanches, restaurador, como cuidar dos livros, como cuidar melhor de livros, minha coleção de livros, cuidar da biblioteca, limpar a biblioteca, anatomia dos livros, partes dos livros, cuidados com as capas dos livros, dicas para cuidar de livros, conservação de biblioteca, biblioteca pessoal, conservação de livros, curso de restauro de livros, aula de restauro de livros, como conservar melhor os livros, melhor lugar para deixar os livros, limpesa de livros",Arte de Fato,2020-12-01,"['Conservar os livros é mais fácil do que se pensa. Para Preservar os livros', 'bibliotecas e acervos basta seguir alguns passos simples. Ensinamos 9 dicas fundamentais para a conservação e preservação dos livros e bibliotecas. Conheça a anatomia dos livros e as principais problemas para cada uma de suas partes. Como manter os livros novos na estante e prateleiras.<br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO<br>✷ inscreva-se na lista de emails da Cristina e aproveite o conteúdo exclusivo para assinantes eepurl.com/hxbckX <br>✷ visite o site do SENAI grafica.sp.senai.br/institucional/1376/0/conservacao-e-restauro-de-documento <br><br>CRISTINA SANCHES é Restauradora e Conservadora']",False,"T, é, c, n, i, c, a","Explicativo, materiais, Conservação preventiva",,papel,"leigos, iniciados",Intenção de dc
"restauro, restaurar, curso de restauro, conservação, cristina sanches, restaurador, gibi estragado, gibi rasgado, gibi antigo, HQ rasgada, HQ estragada, como restaurar gibi, como restaurar revista, como restaurar história em quadrinhos, como restaurar HQ, arrumar gibi antigo, gibi comprado em sebo, quadrinhos comprado em sebo, quadrinhos antigos, gibi raro, colecionar gibi, colecionador de gibi, colecionador de quadrinhos, coleção de gibi, editora taika, restauro de quadrinhos",Arte de Fato,2020-08-12,"['Trabalho incrível! Raro gibi todo desgastado é restaurado como novo. Veja as técnicas usadas para preservar uma revista rara das HQs nacionais. Cristina Sanches restaura o ALMANAQUE DE TERROR', 'antologia de histórias em quadrinhos da épica editora Taika', 'com histórias de mestres da HQ nacional', 'como Jayme Cortez e Nico Rosso.<br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, processos","acervo particular, HQ rara",papel,"leigos, iniciados",Intenção de dc
"restauro de livro, livros amarelos, livros amarelando, como tirar o amarelo de livros, como tirar o amarelo do papel, como tirar o amarelado dos livros, paginas amareladas, manchas nos livros, limpar livros, clareando páginas, restauração de livro, restauro de livros, como limpar livros amarelados, livros amarelados, como limpar livros de sebo, ateliê de restauro, revistas amareladas, papel amarelando, livros e revistas amarelando",Arte de Fato,2021-06-01,"['Livros amarelos entristecem qualquer colecionador. As páginas vão amarelando', 'as bordas das folhas escurecem', 'parece que o livro está envelhecendo. Por que os livros ficam amarelos  Como evitar que eles amarelem  Como preservar os livros e bibliotecas  O que fazer  A restauradora Cristina Sanches ensina como lidar com o problema do amarelamento de livros', 'revistas e histórias em quadrinhos.<br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO <br>✷ inscreva-se na lista de emails da Cristina e aproveite o conteúdo exclusivo para assinantes']",False,"T, é, c, n, i, c, a","Explicativo, processos, Conservação preventiva",amarelamento de papel,papel,"leigos, iniciados",Intenção de dc
"conservação, cristina sanches, restaurador, restauro e preservacao, passe-partout, paspatur, moldura, molduraria, conservar obras de arte, como fazer paspatur, como montar um quadro, para que serve o paspatur, como proteger gravuras, como fazer janelas de papel para pinturas, qual papel usar no paspatur, quem faz paspatur, curso para enquadrar pinturas",Arte de Fato,2020-12-17,"['Aprenda como fazer paspatur pelo método definitivo. O Passe-partout ou Paspatur é um recurso fundamental para preservarmos as obras de arte', 'desenhos e fotografias. Mas tem que fazer direito', 'senão ele pode até danificar as obras. Este vídeo mostra o método definitivo para montarmos o Paspatur.<br><br>✷ ENCOMENDE SEU RETRATO ou ARTE ORIGINAL EM  joellobo.lojaintegrada.com.br/<br>✷ USE O CUPOM DE DESCONTO']",False,"T, é, c, n, i, c, a","Explicativo, processos",como fazer paspartout,papel,iniciados,Views
"restauro, restaurar, livro, curso de restauro, como restaurar livro, livro comido por inseto, recuperar livro, salvar livro, reparo de livro, restauro de papel, papel de trapo, patrimonio, conservação, cristina sanches, restaurador, enxerto de papel japonês, limpeza de livro velho, ateliê de restauro, restauro de livros, restauro de livros antigos",Arte de Fato,2020-07-21,"['Neste restauro de livro antigo', 'com capa de madeira e papel de trapostecido', 'conheça 2 tratamentos realizados. Veja como restaurei os rasgos e furos. Aprenda como limpei as paginas', 'retirando a sujeira acumulada em séculos de uso. <br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO <br>✷ inscreva-se na lista de emails da Cristina e aproveite o conteúdo exclusivo para assinantes eepurl.com/hxbckX<br>✷ escreva para Cristina atelie.de.restauro.cris.sanches gmail.com <br>✷ visite o site do SENAI']",False,"T, é, c, n, i, c, a","Explicativo, processos",Livro Sec XVII,papel,"leigos, iniciados",linguagem visual
"conservação, cristina sanches, restaurador, restauro de livros antigos, como restaurar livro, restauro de livros, como restaurar capa de livro antigo, como restaurar capa de livro, biblioteconomia, bibliotecologia, bibliofilia, shorts",Arte de Fato,2021-10-25,"['O termo lombada vem da palavra lobo', 'o dorso do boi. Por analogia lombada também é o lado do livro ou revista onde fica a costura das folhas', 'oposto ao corte da frente', 'mantendo as folhas do livro unidas. Mais especificamente', 'é também a tira de couro ou de pano que', 'na meia-encarnação', 'cobre o lombo e parte dos planos  entre cada capa de livro. Nem sempre os livros tiveram lombadas', 'na antiguidade eram mais comuns os rolos de papiro', 'os pergaminhos e as tábuas de argila. Muito provavelmente o uso de lombadas começou na Idade Média', 'nos mosteiros', 'onde os monges copistas traduziam e reproduziam obras clássicas.<br><br>Trabalhar com a restauração de livros requer por vezes uma nova encadernação dos exemplares. Alguns de seus componentes originais devem ser afastados do contato com os demais para evitar contaminarem o conjunto. As lombadas', 'por serem uma das partes mais expostas dos exemplares', 'é uma das que podem necessitar de maior intervenção.<br><br>Neste vídeo mostro algumas etapas da preparação de uma nova lombada de um exemplar que restaurei.']",False,"T, é, c, n, i, c, a","processos, musica",,livro,"leigos, iniciados","linguagem - shorts, processos"
"restauro, restaurar, livro, reenfibragem, curso de restauro, como restaurar livro, livro comido por inseto, recuperar livro, salvar livro, senai, reparo de livro, restauro de papel, papel, papel de trapo, broca, cupim, larvas, patrimonio, conservação, cristina sanches, restaurador",Arte de Fato,2019-05-15,Veja um livro comido por insetos ser restaurado como mágica. Os buracos nas páginas são preenchidos novamente por REENFIBRAGEM e as folhas ficam como novas. <br><br>PARA SABER SOBRE OS CURSOS DE CONSERVAÇÃO E RESTAURO,False,"T, é, c, n, i, c, a","Explicativo, Laboratório (ESCOLA SENAI THEOBALDO DE NIGRIS), materiais, processos","l, i, v, r, o,  , d, e,  , 1, 6, 8, 6",papel,"i, n, i, c, i, a, d, o, s, ,, p, r, o, f, i, s, s, i, o, n, a, i, s","l, i, n, g, u, a, g, e, m,  , v, i, s, u, a, l, ,, I, n, t, e, n, ç, ã, o,  , d, e,  , d, c"
